スポット名（英）,スポット名（日本語）,カテゴリ,エリア（区/地域）,URL,画像URL,概要説明（英）,概要説明（日本語）,出典サイト,tag_family_friendly,根拠メモ,評価（A/B/C）,コメント
VASARA Kimono Rental Asakusa,VASARA 着物レンタル 浅草本店,着物体験,台東区（浅草）,https://vasara-h.co.jp/en/shop/asakusa/,https://vasara-h.co.jp/images/top_img_asakusa.jpg,"Offers a wide range of kimono plans, English-speaking staff, hair styling, and easy access from Sensoji Temple.",浅草寺徒歩すぐ。英語対応・豊富なプラン・ヘアセット付きで人気。観光と組み合わせやすい。,VASARA公式,TRUE,子連れプランあり。サイトで英語案内確認済。インバウンド比率高。,A,店舗数が多くアクセス良好。混雑時は事前予約推奨。
Kimono Rental Yumenoya,着物レンタル夢乃屋 浅草店,着物体験,台東区（浅草）,https://yumenoya.me/en/,https://yumenoya.me/wp-content/uploads/2022/07/top_img.jpg,"Located near Sensoji Temple, offering kimono experiences with English-speaking staff, ninja/samurai cosplay available too.",着物体験のほか忍者や侍コスプレも選べる人気店。英語対応あり、写真プラン充実。,夢乃屋公式,TRUE,体験型＋フォトサービスあり。浅草駅近くで外国人に特化。,A,忍者体験と併用可能。子ども用サイズ・家族向けプランあり。
Kimono Rental Wargo Harajuku,着物レンタル 和楽庵 原宿店,着物体験,渋谷区（原宿）,https://harajuku-kimonorental.com/en/,https://harajuku-kimonorental.com/wp-content/uploads/2023/02/top.jpg,Stylish kimono rental near Takeshita Street. Offers family packages and photo options. English website available.,竹下通り近くで若者・外国人に人気。英語サイトあり。家族写真プランも。,和楽庵 原宿店公式サイト,TRUE,幼児用着物あり。明治神宮散策とセットで人気。,A,トレンド志向の若い層に人気。スタッフの対応も丁寧で評価高い。
Simply Oishii Wagashi School,シンプリー・オイシイ 和菓子教室,和菓子作り体験,世田谷区（東京）,https://www.simplyoishii.com/,—,Hands‑on private studio class in Tokyo. Learn mochi and nerikiri from a certified instructor. Reservations only.,プライベートスタジオで、認定講師による餅や練り切りなどの和菓子作り体験。少人数制、予約制クラス。,"Simply Oishii公式サイト (iwafu.com, simplyoishii.com)",TRUE,プライベート・少人数・オンライン併用もあり。英語案内有り（英語TOP頁）。,A,少人数＋認定講師でしっかり学べる。家族層にも◎。
Wagashi Making Class by Kaoru (byFood),菓子工房 Kaoru の和菓子教室 (五反田),和菓子作り体験,品川区（五反田周辺）,—,—,"Choose from 5 class types to make daifuku, dango, nerikiri under certified instructor; family-friendly.",果物大福や三色団子、練り切りなど複数メニューから選べる講座。認定講師で家族参加可。,byFood,TRUE,"certified instructor, family class offered. 英語対応確認（byFood listing）。",A,"多彩なメニュー、家族向け。価格目安約¥7,000〜。"
Wagashi-making in Kagurazaka by Inoue-san,和菓子工房 梅花亭（Baika-tei）,和菓子作り体験,新宿区（神楽坂）,https://www.baikatei.co.jp,—,"Learn from Excellent Wagashi Artisan Takeshi Inoue, craft seasonal sweets, English-friendly, up to ~10 small group.",二瓶亭で「優秀和菓子職人」井上氏から少人数・英語ガイド付きで季節の和菓子を学べる体験。10名程度の少人数制。,Baika-tei (Ninja Kotan),TRUE,認定職人直伝・少人数・10歳以上からOK。英語ガイド確認済。,A,本格志向、神楽坂エリア観光とセットでおすすめ。
Shinohara Furin Honpo Glass+Painting,篠原風鈴本舗（ガラス吹き＋絵付け）,風鈴絵付け体験,台東区（浅草）,—,—,Glass‑blowing + painting workshop at historic Edo furin studio. English available. Ages 6+. Keepsake original chime.,江戸風鈴の伝統工房で、ガラス吹き＋絵付けができる体験。英語対応、6歳以上参加可。完成品は持ち帰り可能。,"LIVE JAPAN (livejapan.com, danayao.com)",TRUE,"English available; multiple sources confirm glass+painting (¥2,400); children ok.",A,伝統・体験・持ち帰り3点揃い。予約は電話優先。
Edo Furin Painting Workshop (NoHGA Ueno),EDO FURIN 絵付けワークショップ（上野NOHGA）,風鈴絵付け体験,台東区（上野）,—,—,"Painting your own Shinohara Maruyoshi chime at NOHGA Hotel. 30–60min; ¥1,800/person. Hotel staff guide, small groups (2–6).","NOHGAホテル上野で、30〜60分の風鈴絵付け体験。¥1,800／人。2〜6名の小グループでホテルスタッフ案内付き。",NOHGA HOTEL,TRUE,小グループ・ホテルホスト案内あり。価格明確・参加しやすい。,B,ホテル滞在者におすすめ。グループ可能だが浅草より簡易。
Peninsula Tokyo Furin Making,ペニンシュラ東京 風鈴制作体験,風鈴絵付け体験,千代田区（丸の内／日比谷）,—,—,2‑hour luxury experience: glass‑blowing & painting at Shinohara Furin with hotel car transport and chauffeur guidance. Age 6+. Includes roundtrip.,ペニンシュラ東京が篠原風鈴本舗で手配する2時間体験。ホテル送迎＋ドライバー解説付き。英語対応、6歳以上。高級体験。,Peninsula Academy,TRUE,ホテル送迎・ラグジュアリーパッケージ・英語通訳付き。参加者年齢制限あり（6歳〜）。,A,ラグジュアリー志向向け、記念ギフトにも◎。
Samurai & Ninja Experience Asakusa,浅草侍・忍者体験スタジオ,忍者・侍体験,台東区（浅草）,https://ninjastudio.jp/en/,https://ninjastudio.jp/images/studio.jpg,"Dress up as a samurai or ninja and learn basic weapons, movement and posing in a full costume set.",侍・忍者の衣装を着て、剣術や忍びの動き、記念撮影ができる体験。英語案内付きで初心者◎。,公式サイト,TRUE,英語対応・衣装込み・子どもOKと記載,A,フォトプラン充実。家族旅行にも◎。
