スポット名（英）,スポット名（日本語）,カテゴリ,エリア,URL,英語説明,日本語説明,tag_family_friendly,コメント・補足,所要時間,予約必要の有無,"英語対応
1（全く対応していない）-3（フル対応）",料金帯
Oedo Onsen Monogatari Odaiba,大江戸温泉物語 お台場,温泉テーマパーク,お台場,公式サイト,Edo-style hot spring theme park with yukata rentals and food stalls.,江戸情緒を楽しめる温泉テーマパーク。浴衣レンタルや屋台もあり。,✅,2021年に閉館→後継施設または代替候補要調査,,,,
Thermae-yu Shinjuku,テルマー湯 新宿,都市型スパ,新宿,https://thermae-yu.jp,Upscale spa facility with onsen-style baths and relaxation spaces.,新宿にある高級感ある都市型スパ。天然温泉や岩盤浴も楽しめる。,⭕,夜遅くまで営業。子連れ利用は静かな時間帯を選ぶと◎,,,,
Mount Takao Forest Therapy,高尾山 森林セラピー,森林浴体験,八王子・高尾,https://takaozanyuho.com/,Forest therapy walks in Mt. Takao with guides and nature immersion.,高尾山で森林浴＆自然体験。心身を癒す「森林セラピー」が人気。,✅,ベビーカー不可のコースもあるので事前確認推奨。,,,,
Tokyo Somei Onsen Sakura,東京染井温泉 Sakura,天然温泉,駒込,https://sakura-2005.com/,Natural hot spring with open-air baths and quiet atmosphere in Tokyo.,静かな雰囲気でゆったりできる天然温泉施設。露天風呂もあり。,⭕,子連れ利用OK（騒がしくならない配慮は必要）,,,,
Enoshima Island Spa (Enospa),江の島アイランドスパ,スパ,江の島,https://www.enospa.jp/,"Ocean-view spa with hot baths, massages, and a wellness focus.",海を望む絶景スパ。リラクゼーション施設が充実。,⭕,子連れ利用OK（中学生以上推奨）。デートや女子旅に人気。,,,,
YUTheater by Onsen Ryokan Yuen Shinjuku,湯宿YUEN 新宿,旅館＋温泉,新宿,https://www.uds-hotels.com/yuen/shinjuku/,Stylish ryokan with open-air bath on rooftop in central Shinjuku.,新宿の中心で露天風呂を楽しめるデザイナーズ旅館。,⭕,小学生以上OK。静かな環境なので子ども連れは配慮が必要。,,,,
Hoshinoya Tokyo,星のや東京,高級旅館,東京・大手町,公式,Luxury ryokan with Japanese hospitality in the heart of Tokyo.,都心にある高級旅館。日本文化とモダンラグジュアリーの融合。,❌,6歳以下不可。ハネムーン・大人旅向け。,,,,
Yuen Shinjuku,湯宿YUEN 新宿,デザイン旅館＋温泉,東京・新宿,公式,Modern ryokan with rooftop open-air bath in Shinjuku.,洗練された和モダン旅館。屋上の露天風呂が魅力。,⭕,小学生以上OK。外国人旅行者にも人気。,,,,
Edo Sakura,江戸桜,伝統旅館,東京・上野/根津,公式,Affordable ryokan with tatami rooms and tea ceremony experience.,畳の部屋や茶道体験が楽しめるリーズナブルな旅館。,⭕,英語対応良好。初めての旅館体験に好適。,,,,
Ryokan Kamogawa Asakusa,鴨川浅草,旅館,東京・浅草,公式,Traditional ryokan near Sensoji Temple with private bath option.,浅草寺近く。家族やカップル向けの落ち着いた和風旅館。,⭕,ベストフットン。外国人観光客からの評価高。,,,,
Ryokan Kimi,キミ旅館,デザイン旅館,東京・池袋,公式,Stylish and authentic ryokan with rooftop terrace and English staff.,和モダンな旅館。屋上テラスと英語対応が魅力。,⭕,若年層やカップルに人気。,,,,
Ryokan Sawanoya,澤の屋旅館,伝統旅館,東京・谷根千,公式,Traditional family-run ryokan offering authentic Japanese experience.,下町の情緒ある古民家旅館。文化体験が楽しめる。,⭕,長年にわたり外国人旅行者に支持される名旅館。,,,,
Ochanomizu Ryumeikan Honten,龍名館本店,モダン和風旅館,東京・御茶ノ水,公式,Modern ryokan with Western-style beds and private Japanese bath.,洋ベッド＆和風浴槽の快適旅館。アクセスも便利。,⭕,ビジネス＆観光両方に対応。英語対応あり。,,,,
Tip Top Tap,Tip Top Tap,ネイルサロン,麻布／代々木上原,"ニューヨーク仕込みのオーナーが運営。定額ネイルサブスクあり (esnailtokyo.jp, japanlivingguide.com)",落ち着いた空間で安定した技術。定期利用向き。,,,,,,,
Elana Jade,Elana Jade,ネイルサロン,麻布十番,シェラック、ペディキュアも対応。まつげ・フェイシャル・ワックスも備える,トータルビューティーケア可能。外国人常連。,,,,,,,
es NAIL,es NAIL,ネイルサロン,渋谷／新宿ほか,2003年開店、技術・サービスともに高評価,多店舗展開で予約しやすい。,,,,,,,
Nail Salon Pinky,Nail Salon Pinky,ネイルサロン,渋谷,英語ネイリスト在籍。カルジェル推し,オーナー施術で丁寧。1分渋谷駅から。,,,,,,,
Nail Salon Tonic,Nail Salon Tonic,ネイルサロン,恵比寿,完全予約制プライベートスタジオ。手描きアート・エクステ対応,丁寧なカスタムアート／落ち着いた空間。,,,,,,,
Top Coat,Top Coat,ネイルサロン,芝／下北沢,英語フレンドリー。夜21時まで営業,2店舗展開、WhatsApp対応。,,,,,,,
Couturiere GINZA,クチュリエールGINZA,ネイルサロン,銀座,リクライニングソファでゆったり施術,銀座駅直結、上質空間でゆったり施術。,,,,,,,
ethsete GINZA,エスシート銀座,ネイルサロン,銀座,英語対応スタッフ在籍。ブライダル・スカルプも対応,幅広いメニューに対応。,,,,,,,
Nail Quick,ネイルクイック（各店）,ネイルサロン,渋谷ほか全国チェーン,英語メニューあり。ジェルパフェジェルなど独自ジェル使用,多店舗で安心、外国人客にも馴染み深い。,,,,,,,
ASPIRE NAILS by Shiori,ASPIRE NAILS（表参道）,ネイルサロン,表参道,日米コンテストチャンピオン在籍。上品なフレンチ得意,ハイクオリティ／特別な日のネイルに最適。,,,,,,,
Lynn nail salon,Lynn nail salon,ネイルサロン,渋谷,JNEC/JNA検定資格。手描き＆長さ出し対応,海外サロン経験あり。細部まで対応可能。,,,,,,,
YUKOmanicure (出張可),YUKOmanicure,ネイルサロン,出張／ホテル設置可,英語でホーム＆ホテル出張ネイル。セレブクライアント対応,ホテルや自宅でプライベートに施術。VIP向け。,,,,,,,
